,Job Title,Location,Post Time,Job Attributes,Job Description
145,Autonomous Vehicle Operator | Baidu USA,mountain view,Thu 05 Mar 10:24:21 AM,"
compensation: Competitive

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply


Baidu USA, one of the R&D centers of Baidu, China’s largest search engine provider,  is growing their team of Autonomous Vehicle Operators.HireArt is looking to hire an Autonomous Vehicle Operator to work at Baidu USA’s Sunnyvale location on a contract basis. In this role, you'll operate test vehicles to directly evaluate and improve their technologies. You will be uniquely positioned to contribute to an exciting team that is leveraging artificial intelligence, deep learning, big data, advanced hardware, and high definition maps toward the goal of commercializing autonomous driving.The ideal candidate is passionate about the Autonomous Vehicle industry, enjoys facing challenges, can quickly adapt to new processes, and is eager to add value with their feedback. You'll get to work with a high caliber, talented team, learn new skills, and be introduced to advanced software and hardware environments.This is a full-time, 4-month contract role through HireArt which may require some flexibility in schedule to accommodate testing during different weather conditions.As a HireArt employee you'll receive:
Employer-subsidized health, vision, and dental insurance
Employer-subsidized life insurance
Employer-subsidized short and long-term disability insurance
Responsibilities:
Master vehicle operations processes and practices
Provide detailed feedback on the technology 
Be a voice of Apollo, an open source autonomous driving platform, to our partners, self-driving enthusiasts & curious onlookers


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply


Requirements

BA/BS degree or comparable relevant experience. 
Valid US driver's license with at least 7 years of driving experience and a clean driving record 
Must have a sound understanding of autonomous vehicle technology

Strong desire to learn new skills and technologies
Strong communication skills, both verbal and written
You are a great collaborator and team player
Experience with Linux Operating System
Nice to Have but Not Required
Fluent in Chinese (Mandarin)
Proficient in Microsoft Office Suite
Experience with public demonstrations
 Commitment: This is a full-time (40 hours per week), 4-month contract position through HireArt and based in Sunnyvale, CA. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply


About Baidu USA
Located in the heart of Silicon Valley, Baidu USA’s team of elite, world-class researchers and engineers devote their time to tackling the most challenging, change-the-world projects in AI and related fields. Baidu USA is comprised of four groups: Baidu Research US, Intelligent Driving Group US, Baidu USDC and Smart Living Group US. At Baidu USA, we act with the nimbleness of a startup, but as a global company, have access to immense computing resources and data. This makes Baidu USA the best place for those working in AI to see their work developed and potentially deployed to hundreds of millions of users. The name Baidu was inspired by a poem written more than 800 years ago during China's Song Dynasty. Baidu, whose literal meaning is “hundreds of times,” represents a persistent search for the ideal.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply

 "
146,THE ULTIMATE INTERNSHIP – BECOME AN IT EXPERT IN 5 MONTHS,sunnyvale,Wed 04 Mar 05:05:45 PM,"
compensation: The internship experience is for the benefit of the intern and is unpaid; participants have historically transitioned into positions starting at $60,000 to $120,000/year.

employment type: full-time

internship

","

QR Code Link to This Post


We create Information Technology (IT) experts quickly through a specialized internship program that is a combination of intense learning and challenging experience.   Internship participants start with little-to-no experience and exit five months later joining the best in the IT field. 

This five-month, high intensity program is the result of a fifteen-year joint effort between Stanford University faculty, Bill and Melinda Gates Foundation, US Navy, DARPA, Department of Veterans Affairs, and our company – Acuitus.  Out of our 900+ participants, over 98% have completed our program to exceptional standards.  The graduates of our internship program have transitioned into hundreds of companies including Cisco, PayPal, Amazon, EMC, Palo Alto Networks, Brocade, eBay, Microsoft and Akamai.  Many are now in senior-level positions, running teams and responsible for hiring – asking for hundreds more of our experts per year.

Our internships are:
•	Full-time, Monday - Friday, 8am-5pm in our Silicon Valley HQ
•	Five-month program, starting March 2020 to August 2020

Internship develops experts in:
•	Problem Solving, Troubleshooting, tactical and strategic Problem Analysis
•	System Administration
•	Operating Systems, such as Windows and Linux
•	Networks
•	Wireless
•	Security:  Data Encryption, Hashing, PKI, Firewalls, VPNs 
•	Virtualization / Cloud Computing
•	Email Systems
•	File Servers, Web Servers
and much more.

Cost:
Our internships are offered at no cost until you acquire a high-paying job in the field.  We only succeed when you succeed.

--

If you want to do something very different, if you want to start a career and not just get an entry-level job, if you want to learn to see the world the way other experts see the world, reach out to us!

Note:  VETERANS will find this program of particular interest because it presents a way to combine the leadership and management experience acquired during your service with technical expertise, which is a particularly valuable combination in high-tech careers.

Applications being accepted now for Monday, March 30, 2020 start date. 
Learn more https://www.acuitus.com/IT1

"
147,Systems Applications Developer,N/A,Wed 04 Mar 10:16:02 AM,N/A,"

QR Code Link to This Post


Systems Applications DeveloperHoly Names University is seeking candidates for a full-time Systems Applications Developer. The Systems Application Developer carries out the system support activities and development of HNU's Learning Management System (LMS), LMS third-party application modules, and intranet applications such as SharePoint, Skype for Business, and Zoom.Essential Functions of Positions: Works with departments and offices across campus to assess business process requirements; analyzes structure and flow of work and date that support needs; evaluates possible solutions and implements and/or recommends solutions that support the mission, values and goals of HNU. Collaborates closely with the Director of Digital Learning and CETL staff to ensure that the specific needs of academic users are identified and met, and the academic applications and systems support the learning outcomes of various programs at HUNU. Ensures the academic applications and systems support business requirements of new online programs.  Performs project management of application software implementation and upgrades; assists the Senior Systems Application Manager in determining project scope and staff resources required to complete projects; prepares project work plans and timelines. Provides technical support problem resolution related to academic and business application software systems. Performs system administration activities, which includes coordinating and managing the testing, installation and configuration of software and related application software upgrades.  Creates and maintains standards, procedures, and documentation related to area of responsibility. May participate in computer audits and perform testing for disaster recovery process, ensuring a secure processing environment that protects the integrity and availability of information.  Implements system changes and administers access to systems and information utilizing approved information technology security policies, standards and guidelines.  Effectively communicates with all levels of the organization to ensure project success and user needs are identified and met. Makes presentations to a wide-variety of audiences within the University community and to external organizations and at conferences.  Participates in/on a variety of meetings, groups, and/or committees to communicate and confer about process analysis of existing procedures and systems, determine cost/benefit an complexities of new processes and projects, prepare for testing, discuss the roll-out of new projects and software upgrades, and/or discuss other applicable issues.  Define and implement testing and development environments suitable for testing and evaluation of new technologies.Qualifications and Experience: Bachelor's degree in computer science or 3 years of equivalent on the job experience. Two of more years experience in database/software development in an enterprise environment. Higher Education experience preferred.To Apply:Thereviewofapplicationswillbeginimmediately. For consideration, applicants should submit a Holy Names University staff employment application with a cover letter, resume, and the names and contact information of professional references to hr@hnu.edu.About Holy Names University Oakland's Holy Names University was founded in 1868 by the Sisters of the Holy Names of Jesus and Mary. Rooted in Catholic intellectual and spiritual traditions, the university's mission is to empower and prepare a diverse student body for productive lives of leadership and service in a complex world. HNU offers a liberal arts and professional education through 15 undergraduate majors and seven master's degree programs. HNU's student-centered education, with small class sizes and courses in varied formats and schedules, meets the current needs of adult learners, including first-generation students and working adults. The university's idyllic, 60-acre campus is nestled in the Oakland hills of California and offers panoramic views of San Francisco Bay. To learn more, visit www.hnu.edu.Holy Names University is an Equal Opportunity Employer. We welcome applications from the community, alumni and the general public. Members of underrepresented groups are encouraged to apply.To apply, visit:https://www.hnu.edu/employment/




Copyright 2017 Jobelephant.com Inc. All rights reserved.

Posted by the FREE value-added recruitment advertising agency 
jeid-e294a9061c95214193f5d686bd2cc41d    "
148,Vehicle Operator | $26 per hour,mountain view,Wed 04 Mar 10:12:16 AM,"
compensation: $26 per hour

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/74d9b088/apply


HireArt is helping our client, the world’s leading mobile transportation platform, grow their quickly expanding Autonomous Vehicle team by hiring Vehicle Operators. In this role, you will be responsible for operating autonomous test vehicles that run on proprietary software and hardware. You will be an integral part of a fast-paced team helping to advance cutting-edge technologies by testing with a high standard of safety and providing detailed feedback to developers. The ideal candidate is a safe and responsible driver who is dependable, organized, self-driven, open-minded and has a strong sense of ownership.Responsibilities
Safely operate autonomous test vehicles five days a week.
Collaborate closely with talented software and hardware engineers to advance technologies and internal workflows, and ultimately help shape the product roadmap.
Build and establish frameworks for various types of testing with an emphasis on safety (Production, Mapping, Developer Tests).
Schedule and dispatch daily operations.
Support ad-hoc projects.
You must pass a number of training checkpoints, both in and out of the car. 
Expected to keep all project details confidential.


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/74d9b088/apply


Requirements

Bachelor's degree or equivalent work experience
A valid U.S driver’s license
5+ years of driving experience and 3+ years with a clean driving record
Local to the San Francisco Bay Area
A reliable method of transportation to move between Fremont and Mountain View locations
Experience working in a start-up or fast-paced environments
Comfortable with taking ownership of new projects and tasks
Ability to think on your feet and solve problems quickly
Previous experience in autonomous vehicle operations is a plus
Commitment: This is full-time (40 hours per week), ongoing contract position staffed via HireArt and based in Mountain View, CA. HireArt is an Equal Opportunity Employer. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/74d9b088/apply

 "
149,Autonomous Vehicle Operator | Baidu USA,mountain view,Wed 04 Mar 10:12:15 AM,"
compensation: Competitive

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply


Baidu USA, one of the R&D centers of Baidu, China’s largest search engine provider,  is growing their team of Autonomous Vehicle Operators.HireArt is looking to hire an Autonomous Vehicle Operator to work at Baidu USA’s Sunnyvale location on a contract basis. In this role, you'll operate test vehicles to directly evaluate and improve their technologies. You will be uniquely positioned to contribute to an exciting team that is leveraging artificial intelligence, deep learning, big data, advanced hardware, and high definition maps toward the goal of commercializing autonomous driving.The ideal candidate is passionate about the Autonomous Vehicle industry, enjoys facing challenges, can quickly adapt to new processes, and is eager to add value with their feedback. You'll get to work with a high caliber, talented team, learn new skills, and be introduced to advanced software and hardware environments.This is a full-time, 4-month contract role through HireArt which may require some flexibility in schedule to accommodate testing during different weather conditions.As a HireArt employee you'll receive:
Employer-subsidized health, vision, and dental insurance
Employer-subsidized life insurance
Employer-subsidized short and long-term disability insurance
Responsibilities:
Master vehicle operations processes and practices
Provide detailed feedback on the technology 
Be a voice of Apollo, an open source autonomous driving platform, to our partners, self-driving enthusiasts & curious onlookers


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply


Requirements

BA/BS degree or comparable relevant experience. 
Valid US driver's license with at least 7 years of driving experience and a clean driving record 
Must have a sound understanding of autonomous vehicle technology

Strong desire to learn new skills and technologies
Strong communication skills, both verbal and written
You are a great collaborator and team player
Experience with Linux Operating System
Nice to Have but Not Required
Fluent in Chinese (Mandarin)
Proficient in Microsoft Office Suite
Experience with public demonstrations
 Commitment: This is a full-time (40 hours per week), 4-month contract position through HireArt and based in Sunnyvale, CA. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply


About Baidu USA
Located in the heart of Silicon Valley, Baidu USA’s team of elite, world-class researchers and engineers devote their time to tackling the most challenging, change-the-world projects in AI and related fields. Baidu USA is comprised of four groups: Baidu Research US, Intelligent Driving Group US, Baidu USDC and Smart Living Group US. At Baidu USA, we act with the nimbleness of a startup, but as a global company, have access to immense computing resources and data. This makes Baidu USA the best place for those working in AI to see their work developed and potentially deployed to hundreds of millions of users. The name Baidu was inspired by a poem written more than 800 years ago during China's Song Dynasty. Baidu, whose literal meaning is “hundreds of times,” represents a persistent search for the ideal.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply

 "
150,Autonomous Technology QA | HireArt,palo alto,Wed 04 Mar 10:12:10 AM,"
compensation: $30 - $36 per hour

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/25f35f56/apply


Our client is moving into the Autonomous Vehicle space and is searching for people to join their team in Palo Alto to execute vehicle testing procedures and work alongside operations and engineering teams to collect and provide feedback. Ideal candidates have experience working in a fast-paced, high-growth environment, are interested in the autonomous vehicle space and are passionate about technology.  Autonomous Technology QA Responsibilities:
Have a “safety first” attitude. Keeping the vehicle, team, and public safe at all times
Provide reliable and honest feedback to operations and engineer teams on test processes and performance
Operate self-driving vehicles in both autonomous and manual modes between 6-8 hours a day, 5 days a week
Collaborate with operations and engineers to follow collection/missions procedures
Execute established procedures, processes, and checklists
Be an ambassador for the technology and team
Quickly and efficiently operate proprietary software in a moving vehicle


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/25f35f56/apply


Requirements

BS/BA degree in any field, or equivalent practical work experience
Valid US Driver's license with at least 7 years driving experience, and a clean driving record (no more than 1 point in the last 3 years)
Experience with workflow management systems, preferably JIRA
Familiarity with bash/linux command line prompts is a plus
Ability to travel up to 25% of the time
Previous autonomous vehicle testing experience is a huge plus


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/25f35f56/apply

 "
151,Mapping Annotation Operator | $30 - $36 per hour,Los Altos,Wed 04 Mar 10:12:08 AM,"
compensation: $30 - $36 per hour

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/6ed8cde8/apply


HireArt is looking to hire a Map Annotation Operator to work on-site at Toyota Research Institute’s (TRI) Los Altos location on a contract basis. In this role, you'll work with Autonomous Driving Localization and Mapping teams to develop accurate, scalable, and semantic maps of the world.The Toyota Research Institute (TRI) is an R&D enterprise designed to bridge the gap between fundamental research and product development. It has been launched with mandates to (1) enhance the safety of automobiles, with the ultimate goal of creating a car that is incapable of causing a crash; (2) increase access to cars to those who otherwise cannot drive, including those with disabilities and the elderly; (3) help translate outdoor mobility technology into products for indoor mobility; and (4) accelerate scientific discovery by applying techniques from artificial intelligence and machine learning.  Toyota believes artificial intelligence has significant potential to improve the quality of life for all people, bringing ease, comfort and safety to all aspects of life.TRI's Autonomous Driving Localization and Mapping team is developing accurate, scalable, and semantic maps of the world. We are looking for motivated individuals with a passion for autonomous vehicle technology to join the Mapping Annotation Operations Team. Mapping Annotation Operators will be responsible for creating and maintaining high definition maps for autonomous vehicles. Responsibilities: 
Use in-house tools for annotating and labeling maps, images, and other assets
Be self-motivated and demonstrate good judgement that requires minimal supervision throughout the work day in order to thrive in a fast paced, high stress environments
Use internal tools for managing progress of labeling for various assets
Report and document issues with tools and labeled assets to mapping team lead
Provide feedback for improvements to existing tooling that can increase annotation throughput and quality
Have the ability to travel outside the primary location of hire
Build high definition maps with proprietary software
Develop and improve operational pipeline
Communicate and collaborate effectively with different teams 
Develop and train operators on new tools and workflows


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/6ed8cde8/apply


Requirements

Bachelor’s degree or equivalent experience 
Excellent verbal and written communication skills
Ability to learn quickly and implement new concepts
Proficient computer skills, including basic troubleshooting with the ability to utilize proprietary tools
Preferred, not required
Experience using python, terminal scripts, and git
Commitment: This is a full-time (40 hours per week), 12-month contract position through HireArt and based in Los Altos, CA. Domestic and international travel may be required. HireArt provides Equal Employment Opportunity without regard to the applicant's race, color, creed, gender, gender identity or expression, sexual orientation, national origin, age, physical or mental disability, medical condition, religion, marital status, genetic information, veteran status, or any other status protected under federal, state or local laws.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/6ed8cde8/apply


About Toyota
At Toyota Research Institute (TRI), we’re working to build a future where everyone has the freedom to move, engage, and explore with a focus on reducing vehicle collisions, injuries, and fatalities. Join us in our mission to improve the quality of human life through advances in artificial intelligence, automated driving, robotics and materials science. We’re dedicated to building a world of “mobility for all” where everyone, regardless of age or ability, can live in harmony with technology to enjoy a better life. Through innovations in AI, we’ll...● Develop vehicles incapable of causing a crash, regardless of the actions of the driver.● Develop technology for vehicles and robots to help people enjoy new levels of independence, access, and mobility.● Bring advanced mobility technology to market faster.● Discover new materials that will make drive batteries and hydrogen fuel cells smaller, lighter, less expensive and more powerful.Our work is guided by a dedication to safety – in how we research, develop, and validate the performance of vehicle technology to benefit society. As a subsidiary of Toyota, TRI is fueled by a diverse and inclusive community of people who carry invaluable leadership, experience, and ideas from industry-leading companies. Over half of our technical team carries PhD degrees. We’re continually searching for the world’s best talent ‒ people who are ready to define the new world of mobility with us!We strive to build a company that helps our people thrive, achieve work life balance, and bring their best selves to work. At TRI, you will have the opportunity to enjoy the best of both worlds ‒ a fun start up environment with brilliant people who enjoy solving tough problems and the financial backing to successfully achieve our goals. If you’re passionate about working with smart people to make cars safer, enable the elderly to age in place, or design alternative fuel sources, TRI is the place for you. ‒ Start your impossible with us. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/6ed8cde8/apply

 "
152,Data Engineer / Data Science Intern - OPT / CPT Welcome,fremont / union city / newark,Tue 03 Mar 10:51:07 PM,"
compensation: Pay + Good Experience

employment type: employee's choice

","

QR Code Link to This Post


Job Description

* Willingness to learn new languages and technologies
* Strong computer science fundamentals, including data structures, algorithms, and software design
* Deliver high-quality software using industry’s best practices
* Knowledge with programming languages: Java / Scala / Python / R
* Highly desirable to have knowledge of distributed data processing platforms (Hadoop, Hive, Spark, Kafka, etc.)
* Knowledge of various databases / database technologies - Oracle, Postgres, Cassandra (NoSQL).
*Good Understanding of SQL database structure, queries, and schemas
* Knowledge of ETL and data warehouse architecture and best practices
* Nice to have good understanding of AI, ML, DL
* Understanding of data science terminology
* Attention to details and concern of accuracy


Education - M.S. in computer science, computer engineering, or closely related fields with equivalent experience.




Keywords - Snaplogic, Boomi, Mulesoft, Alteryx, Informatica, SSIS, Talend, Stitchdata, metastage, AWS, Redshift, Snowflake, Star, ETL, ELT, DW, BI, Tableau, Powerbi, Cognos, OBIEE, Micrstrategy, Qlik, Metabase, Jaspersoft, Jasper, Quantative, Qualitative, Artificial Intelligence, Machine Learning. Deep Learning, Linear Regression, A/B Testing, Hypothesis testing, Big data, hadoop, hdfs, hive, spark, pig, accumulo, presto, etc.    "
153,Database Administrator,N/A,Tue 03 Mar 05:00:51 PM,N/A,"

QR Code Link to This Post



Database Administrator
Alameda-Contra Costa Transit District
SALARY:
$3,936.00 - $4,701.27 Biweekly
$8,528.00 - $10,186.08 Monthly
$102,336.00 - $122,233.00 Annually
OPENING DATE: 02/18/20
CLOSING DATE: Continuous

SUMMARY:
AC Transit is actively recruiting for the position of Database Administrator in the Information Services Department. Under general supervision, maintains and modifies a database; analyzes system performance; designs and writes queries and programs; designs, documents and implements all system and server processes including security, access, test routines, and back up; modifies existing programs to user requirements; troubleshoots and resolves malfunctions; writes systems documentation; and may provide work direction to journey and lower level programmers. This is an excellent opportunity to work in IT at one of the largest bus agencies in California. In addition to working with some of the best in the business, AC Transit also has an outstanding benefits package that includes pension, medical, dental and vision coverage, flexible spending and a 457 savings plan.

REPRESENTATIVE FUNCTIONS:
Designs, documents and implements security, back up and recovery of assigned database(s) and indexes, runs performance queries, and schedules systems maintenance.
Administers systems security, and assigns appropriate access privileges to end-users.
Writes and/or modifies software programs using database languages.
Writes and tests scripts used to build, restore, dump, and/or maintain databases.
Uses system commands and protocols to maintain network systems and/or databases.
Designs and implements testing routines to identify and resolve (de-bug) conflicts and potential operating malfunctions.
Analyzes database architecture and monitors disk-usage to maintain integrity of database(s) and/or servers, and reconfigures or relocates data for optimal performance.
Design application programs to minimize run time and response times.
Documents procedures, and provides user information and training materials.
Troubleshoots and resolves malfunctions with databases, servers, operating platform/database interfaces, and networked systems.
Confers with end-users to identify user needs, and with vendors regarding programming and/or systems upgrades.
Estimates time and resources needed for projects, develops project schedules, and may help end users prepare service request forms.
Performs related duties as required.

MINIMUM QUALIFICATIONS:
Education/Training: Equivalent to an Associate's degree in Computer Science, Mathematics, or a
related field, OR certification of completion of a recognized program in Computer Science.

Experience: Two (2) years experience in a data processing related field in a client-server environment, one (1) year of which must include performing a variety of tasks in support of administering a database. Additional education may be substituted for up to one year of the general experience on a year for year basis

Desired:
Experience with Azure Data Solution, Big Data, Enterprise Business Intelligence including Microsoft PowerBI and Power Platform.
Azure Data Platform expert/architect
Seven years of progressively responsible experience in database technology, including development, administration, architecture, or data warehousing.
Bachelor degree in Computer Science, Mathematics, Data Science or a closely related field.

ADDITIONAL INFORMATION:
License Requirement: Must possess, or obtain and maintain a valid California Class C Driver License
and meet the District's safe driving standards.

Physical Requirements: Must maintain the physical condition necessary to: (1) perform tasks in an office setting operating a personal computer, keyboards, and other peripheral equipment; (2) possess physical mobility in order to travel within the District for meetings and presentations; and (3) grasp, lift, and transport marketing materials and equipment weighing up to fifty (50) lbs.

THIS POSITION IS A UNION POSITION, REPRESENTED BY AFSCME
To apply, visit: https://www.governmentjobs.com/careers/actransit/jobs/2604569/database-administrator
The Selection Process: The Human Resources department must receive a completed online application by the filling date. If this recruitment is ""Continuous,"" it may be closed at any time without notice. Applications will be screened for job-related qualifications, and those candidates who best meeting the qualifications listed on this Job Announcement will be invited to participate in an examination process that may include written, oral and/or performance segments. Current District employees must have satisfactory attendance and performance records. Finalists will be placed on an Eligibility List. When filling vacancies, the Human Resources Department will refer the top candidates to the hiring department for final screening and recommendation. Per Board Policy, selected candidates may require background checks performed on their criminal and/or financial records.
Benefits: All employees hired on or after January 1, 2016, may be in the District's Tier II pension plan covered by the Public Employees' Pension Reform Act of 2013 (PEPRA). As such, he/she may be required to contribute 6% or more of annual income towards the cost of his/hers District pension.
ADA Compliant and Drug-Free Workplace: The Human Resources Department will make reasonable efforts in the recruitment/examination process to accommodate applicants with disabilities. If you have a need for an accommodation, please call Human Resources at (510) 891-4783.  
 
The Alameda-Contra Costa Transit District has established the goal of a 100 percent drug and alcohol-free workplace. Applicants will be required to undergo drug and alcohol testing prior to employment and those in safety sensitive positions will be subject to further drug and alcohol testing through their period of employment, including random drug and alcohol testing.

Equal Opportunity Employer





Copyright 2017 Jobelephant.com Inc. All rights reserved.

Posted by the FREE value-added recruitment advertising agency 
jeid-f6f3fe3fd330e1438bcd762189c4e129 "
154,QA Project Manager | $53 - $63 per hour,menlo park,Tue 03 Mar 10:18:34 AM,"
compensation: $53 - $63 per hour

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/a4ca4eff/apply


HireArt is helping the world's largest social network find a QA Project Manager to work with third-party developers, overseeing products in QA from alpha to launch. The ideal candidate will have 3+ years experience in QA project management as well as experience working with outside vendors.As QA Project Manager, you will: 
Work directly with third-party developers from alpha/beta through to launch, delivering high quality functional releases.
Manage multiple products in QA simultaneously.
Attend weekly QA calls with vendors and participate in risk assessment meetings.
Update data tracking tools with the latest project information.
Work cross-functionally with multiple internal groups (marketing, comms, software, hardware, content).


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/a4ca4eff/apply


Requirements

Bachelor's degree in computer science, game production/development, business, or similar 
3+ combined years of QA project management in VR, console, or PC video games
2+ years experience working and partnering with external vendors
Experience with end-to-end game QA process
Understanding of game production life cycle, tools, process, and execution planning
Experience with compliance and certification testing
Familiar with multiple bug tracking databases
Effective communication skills across all levels of an organization
Passionate about and familiar with multiple genres of PC and/or console games
Preferred qualifications: 
Platform QA and hardware development experience 
Experience in VR 
Commitment: This is a full-time (40 hours per week), 1-year contract position through HireArt and based in Menlo Park, CA. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/a4ca4eff/apply

 "
155,Design Verification Engineer | $110 - $117 per hour,menlo park,Tue 03 Mar 10:18:33 AM,"
compensation: $110 - $117 per hour

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/8a6a5097/apply


HireArt is helping the world's largest social network find a Design Verification Engineer to implement design verification (DV) IPs. The ideal candidate will have 7+ years design verification experience, knowledge of C/C++ or similar, and excellent communication skills.As Design Verification Engineer, you will: 
Work with RTL designers and other DV engineers to implement DV for various IPs.
Implement test benches including checkers, reference models, and coverage groups in System Verilog.
Create test benches for co-simulating different IPs. 
Port tests from the individual IPs to stimulate combined IPs.
Implement directed self-testing and random tests.
Keep track of coverage metrics and bugs encountered and fixed.


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/8a6a5097/apply


Requirements

7+ years of Verilog/System Verilog OVM/UVM design verification experience 
Knowledge of C/C++, Python, Perl, and/or shell scripting 
Knowledge with assertions (SVA) or others
Knowledge of digital ASICs design flows
Excellent communication skills both verbal and written
Commitment: This is a full-time (40 hours per week), 1-year contract position through HireArt and based in Menlo Park, CA. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/8a6a5097/apply

 "
156,Autonomous Vehicle Operations Specialist | Baidu USA,N/A,Tue 03 Mar 10:18:25 AM,"
compensation: Competitive

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/20d58800/apply


Baidu USA, one of the R&D centers of Baidu, China’s largest search engine provider,  is growing their team of Autonomous Vehicle Operations Specialists.HireArt is looking to hire an Autonomous Vehicle Operations Specialist to work at Baidu USA’s Sunnyvale location on a contract basis. In this role, you'll  operate test vehicles to directly evaluate and improve their technologies. We're looking for an experienced autonomous vehicle operator to contribute to an exciting team and mission. You will be uniquely positioned to contribute to an exciting team that is leveraging artificial intelligence, deep learning, big data, advanced hardware, and high definition maps toward the goal of commercializing autonomous driving.The ideal candidate is passionate about the Autonomous Vehicle industry, enjoys facing challenges, can quickly adapt to new processes, and is eager to add value with their feedback. You'll get to work with a high caliber, talented team, learn new skills, and work within advanced software and hardware environments.This is a full-time, 4-month contract role through HireArt which may require some flexibility in schedule to accommodate testing during different weather conditions.As a HireArt employee you'll receive:
Employer-subsidized health, vision, and dental insurance
Employer-subsidized life insurance
Employer-subsidized short and long-term disability insurance
Responsibilities:
Master vehicle operations processes and practices
Provide detailed feedback on the technology 
Be a voice of Apollo, an open source autonomous driving platform, to our partners, self-driving enthusiasts & curious onlookers


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/20d58800/apply


Requirements

BA/BS degree or comparable relevant experience. 
Valid US driver's license with at least 7 years of driving experience and a clean driving record 
6 months+ experience operating Autonomous Vehicles
Must have a sound understanding of autonomous vehicle technology
Strong desire to learn new skills and technologies
Strong communication skills, both verbal and written
You are a great collaborator and team player
Experience with Linux Operating System
Nice to Have but Not Required
Fluent in Chinese (Mandarin)
Proficient in Microsoft Office Suite
Experience with public demonstrations
 Commitment: This is a full-time (40 hours per week), 4-month contract position through HireArt and based in Sunnyvale, CA. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/20d58800/apply


About Baidu USA
Located in the heart of Silicon Valley, Baidu USA’s team of elite, world-class researchers and engineers devote their time to tackling the most challenging, change-the-world projects in AI and related fields. Baidu USA is comprised of four groups: Baidu Research US, Intelligent Driving Group US, Baidu USDC and Smart Living Group US. At Baidu USA, we act with the nimbleness of a startup, but as a global company, have access to immense computing resources and data. This makes Baidu USA the best place for those working in AI to see their work developed and potentially deployed to hundreds of millions of users. The name Baidu was inspired by a poem written more than 800 years ago during China's Song Dynasty. Baidu, whose literal meaning is “hundreds of times,” represents a persistent search for the ideal.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/20d58800/apply

 "
